country,country_code,region,income_group,year,WBL INDEX,can_choose_residence,can_travel_domestic,can_apply_passport,can_travel_abroad,get_job,no_gender_discrimination_employment,sexual_harassment_legislation,sexual_harassment_penalties,no_gender_discrimination_credit,can_sign_contract,can_register_business,can_open_bank_account
Armenia,ARM,Europe & Central Asia,Upper middle income,2022,87.5,1,1,1,1,1,1,0,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2023,87.5,1,1,1,1,1,1,0,0,0,1,1,1
Armenia,ARM,Europe & Central Asia,Upper middle income,2024,90.6,1,1,1,1,1,1,1,0,0,1,1,1
Australia,AUS,High income: OECD,High income,2015,93.8,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2016,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2017,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2018,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2019,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2020,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2021,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2022,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2023,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Australia,AUS,High income: OECD,High income,2024,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2015,91.3,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2016,94.4,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2017,94.4,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2018,94.4,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2019,94.4,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2020,94.4,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2021,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2022,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2023,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Austria,AUT,High income: OECD,High income,2024,96.9,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2015,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2016,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2017,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2018,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2019,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2020,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2021,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2022,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2023,78.8,1,1,1,1,1,1,1,1,1,1,1,1
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2024,85.0,1,1,1,1,1,1,1,1,1,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2015,81.3,1,1,1,1,1,1,1,1,0,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2016,81.3,1,1,1,1,1,1,1,1,0,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2017,81.3,1,1,1,1,1,1,1,1,0,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2018,81.3,1,1,1,1,1,1,1,1,0,1,1,1
"Bahamas, The",BHS,Latin America & Caribbean,High income,2019,81.3,1,1,1,1,1,1,1,1,0,1,1,1
