country,country_code,year,female_labor_force_participation_rate
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2017.0,20.784490192352
Mexico,MEX,2017.0,43.627
Middle income,MIC,2017.0,46.4060862376462
North Macedonia,MKD,2017.0,41.241
Mali,MLI,2017.0,57.877
Malta,MLT,2017.0,46.159
Myanmar,MMR,2017.0,47.659
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2017.0,19.5012053950759
Montenegro,MNE,2017.0,45.296
Mongolia,MNG,2017.0,52.687
Mozambique,MOZ,2017.0,77.942
Mauritania,MRT,2017.0,26.215
Mauritius,MUS,2017.0,45.716
Malawi,MWI,2017.0,58.774
Malaysia,MYS,2017.0,51.285
North America,NAC,2017.0,56.8852455392197
Namibia,NAM,2017.0,55.436
New Caledonia,NCL,2017.0,55.488
Niger,NER,2017.0,60.962
Nigeria,NGA,2017.0,76.156
Nicaragua,NIC,2017.0,49.116
Netherlands,NLD,2017.0,60.887
Norway,NOR,2017.0,62.638
Nepal,NPL,2017.0,27.53
New Zealand,NZL,2017.0,64.928
OECD members,OED,2017.0,51.8971637440425
Oman,OMN,2017.0,30.484
Other small states,OSS,2017.0,49.2448093744498
Pakistan,PAK,2017.0,22.358
Panama,PAN,2017.0,52.246
Peru,PER,2017.0,69.388
Philippines,PHL,2017.0,45.045
Papua New Guinea,PNG,2017.0,49.297
Poland,POL,2017.0,49.757
Pre-demographic dividend,PRE,2017.0,60.9006029809026
Puerto Rico (US),PRI,2017.0,32.498
"Korea, Dem. People's Rep.",PRK,2017.0,77.622
Portugal,PRT,2017.0,54.028
Paraguay,PRY,2017.0,57.843
West Bank and Gaza,PSE,2017.0,17.665
Pacific island small states,PSS,2017.0,53.4464745127394
Post-demographic dividend,PST,2017.0,53.7080621741849
French Polynesia,PYF,2017.0,49.33
Qatar,QAT,2017.0,57.571
Romania,ROU,2017.0,43.175
Russian Federation,RUS,2017.0,55.335
Rwanda,RWA,2017.0,54.723
South Asia,SAS,2017.0,27.8235308429986
Saudi Arabia,SAU,2017.0,19.857
Sudan,SDN,2017.0,20.9
Senegal,SEN,2017.0,35.424
Singapore,SGP,2017.0,60.807
Solomon Islands,SLB,2017.0,82.401
Sierra Leone,SLE,2017.0,52.644
El Salvador,SLV,2017.0,45.154
"Somalia, Fed. Rep.",SOM,2017.0,21.007
Serbia,SRB,2017.0,46.067
Sub-Saharan Africa (excluding high income),SSA,2017.0,63.2735239434551
South Sudan,SSD,2017.0,71.24
