"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Costa Rica","CRI","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","34.1614608764648","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.2964926692056","73.5","75.3","75.6","77.4","76.5","76.8176727294922","78.6316223144531","78.9334030151367","79.12890625","79.7857971191406","80.1829605102539","80.8","81.3937911987305","81.4093627929688","81.0343322753906","81.5","82.1348190307617","82.8","83.077392578125","83.8","83.8","84.7","85.7066192626953","",
"Caribbean small states","CSS","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.5450820922852","","","","","","","","","","90.3177337646484","","","","","","","91.3904571533203","","","","","","",
"Curacao","CUW","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5243988037109","","","","","",
"Cayman Islands","CYM","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.1334075927734","99.0928268432617","98.7649536132812","97.2205429077148","98.6907730102539","","","","","","99.8244781494141","98.9811096191406","","","","","","","","","","",
"Cyprus","CYP","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.5755767822266","","","","","","","100","100","","83.9572121908037","83.3325273126941","85.5253601074219","88.7256164550781","89.4837188720703","89.6873779296875","89.8278503417969","89.7036209106445","90.4953536987305","92.9562606811523","92.1442489624023","92.3331069946289","91.8073806762695","91.9152297973633","93.4087829589844","94.1374860294374","94.2178497314453","94.0600435034467","94.5671234130859","96.0971787741325","96.4547482590793","96.2675404612374","","",
"Czechia","CZE","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.5987879161318","99.8638171570222","99.8318193496263","99.7954783623488","99.7587342982958","99.8779849978704","99.8898385402752","99.8836822509766","99.8975296020508","99.8857192993164","99.8760070800781","99.8513870239258","99.9034576416016","99.9219284057617","99.8886108398438","99.8529434204102","99.871696472168","99.8718338012695","99.9189071655273","99.9118454476118","99.8790512084961","99.8789586610696","99.4178009033203","99.9050670514456","99.906498527734","","",
"Germany","DEU","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","","100","100","100","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Djibouti","DJI","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.0733509063721","","","","","","","","",
"Dominica","DMA","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.4465179443359","","","","","","","","","","","","","","","","","","","","79.1414184570312","","","","",
"Denmark","DNK","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","","100","100","100","100","100","100","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Dominican Republic","DOM","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","16.2999992370606","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.8","55.8","58","58.9","61.4","60.5","61.8","55.087818145752","62.6","64.4","63.3879089355469","64.7738723754883","65.3501586914062","65.8180465698242","67.0979766845703","67.8394927978516","70.5","71.6","71.9","73.0665588378906","73.3","74.8","74.9","76.5","79.2162704467773","",
"Algeria","DZA","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","0.793940007686615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4552001953125","","39.5356216430664","","","40.639030456543","","","","","","","","57.5232810974121","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","SE.PRM.CUAT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
